Aston Villa | 2.1895086046029446 - 0.5927668332843281 | Wolves
Aston Villa | 1.7861780721760863 - 0.7903557777124377 | West Ham
Aston Villa | 2.4776018420507 - 0.8397530138194649 | Bournemouth
Aston Villa | 2.5352204895402517 - 0.5433695971773009 | Nott'ham Forest
Aston Villa | 1.7285594246865352 - 0.8891502499264923 | Everton
Aston Villa | 1.9182208060063077 - 0.7209322396706852 | Luton Town
Aston Villa | 1.9182208060063077 - 0.8648784867274331 | Burnley
Aston Villa | 1.9182208060063077 - 0.7209322396706852 | Sheffield Utd
Tottenham | 1.03364361557013 - 1.9994119376653927 | Manchester City
Tottenham | 1.1628490675163965 - 2.0582181711261396 | Arsenal
Tottenham | 2.131889957113394 - 1.2937371361364307 | Manchester Utd
Tottenham | 1.2274517934895295 - 1.8817994707438992 | Newcastle Utd
Tottenham | 1.9380817791939942 - 1.7053807703616588 | Liverpool
Tottenham | 2.06728723114026 - 2.0582181711261396 | Brighton
Tottenham | 1.6150681493283285 - 1.0585122022934432 | Aston Villa
Tottenham | 1.8088763272477275 - 1.3525433695971774 | Brentford
Tottenham | 1.5504654233551953 - 1.4113496030579242 | Fulham
Tottenham | 1.6796708753014618 - 1.11731843575419 | Crystal Palace
Tottenham | 1.8088763272477275 - 1.0585122022934432 | Chelsea
Tottenham | 2.454903586979059 - 0.7056748015289621 | Wolves
Tottenham | 2.002684505167127 - 0.9408997353719496 | West Ham
Tottenham | 2.777917216844725 - 0.9997059688326964 | Bournemouth
Tottenham | 2.8425199428178582 - 0.6468685680682154 | Nott'ham Forest
Tottenham | 1.9380817791939942 - 1.0585122022934432 | Everton
Tottenham | 2.1507324188555574 - 0.8582526662746253 | Luton Town
Tottenham | 2.1507324188555574 - 1.0296172461040871 | Burnley
Tottenham | 2.1507324188555574 - 0.8582526662746253 | Sheffield Utd
Brentford | 0.9777709877014744 - 1.4395765951190826 | Manchester City
Brentford | 1.0999923611641589 - 1.4819170832108204 | Arsenal
Brentford | 2.0166526621342915 - 0.9314907380182301 | Manchester Utd
Brentford | 1.161103047895501 - 1.3548956189356074 | Newcastle Utd
Brentford | 1.8333206019402648 - 1.227874154660394 | Liverpool
Brentford | 1.9555419754029488 - 1.4819170832108204 | Brighton
Brentford | 1.527767168283554 - 0.7621287856512791 | Aston Villa
Brentford | 2.322206095791002 - 1.397236107027345 | Tottenham
Brentford | 1.4666564815522116 - 1.0161717142017053 | Fulham
Brentford | 1.588877855014896 - 0.8044692737430168 | Crystal Palace
Brentford | 1.7110992284775801 - 0.7621287856512791 | Chelsea
Brentford | 2.322206095791002 - 0.5080858571008526 | Wolves
Brentford | 1.8944312886716068 - 0.6774478094678037 | West Ham
Brentford | 2.6277595294477125 - 0.7197882975595413 | Bournemouth
Brentford | 2.688870216179055 - 0.46574536900911506 | Nott'ham Forest
Brentford | 1.8333206019402648 - 0.7621287856512791 | Everton
